id,title,institution,rating
machine-learning,Machine Learning,Stanford University,5.0
indigenous-canada,Indigenous Canada,University of Alberta,5.0
the-science-of-well-being,The Science of Well-Being,Yale University,5.0
technical-support-fundamentals,Technical Support Fundamentals,Google,5.0
google-cbrs-cpi-training,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,5.0
financial-markets-global,Financial Markets,Yale University,5.0
introduction-psychology,Introduction to Psychology,Yale University,5.0
python,Programming for Everybody (Getting Started with Python),University of Michigan,5.0
computer-networking,The Bits and Bytes of Computer Networking,Google,5.0
ai-for-everyone,AI For Everyone,DeepLearning.AI,5.0
python-crash-course,Crash Course on Python,Google,5.0
psychological-first-aid,Psychological First Aid,Johns Hopkins University,5.0
neural-networks-deep-learning,Neural Networks and Deep Learning,DeepLearning.AI,5.0
what-is-datascience,What is Data Science?,IBM,5.0
negotiation-skills,Successful Negotiation: Essential Strategies and Skills,University of Michigan,5.0
uva-darden-project-management,Fundamentals of Project Planning and Management,University of Virginia,5.0
project-management,Project Launch,"University of California, Irvine",5.0
brand,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,5.0
sciwrite,Writing in the Sciences,Stanford University,5.0
food-and-health,Stanford Introduction to Food and Health,Stanford University,5.0
html-css-javascript-for-web-developers,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,5.0
excel-essentials,Excel Skills for Business: Essentials,Macquarie University,5.0
negotiation,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,5.0
everyday-excel-part-1,"Everyday Excel, Part 1",University of Colorado Boulder,5.0
learning-how-to-learn,Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,5.0
gcp-fundamentals,Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,5.0
wharton-contagious-viral-marketing,Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,5.0
python-data,Python Data Structures,University of Michigan,5.0
private-equity,Private Equity and Venture Capital,Università Bocconi,5.0
