title,institution,level,language,n_enrolled,price,price_certificate
How to Learn Online,edX,Introductory,English,"124,980",FREE-Add a Verified Certificate for $49 USD,49.0
Programming for Everybody (Getting Started with Python),The University of Michigan,Introductory,English,"293,864",FREE-Add a Verified Certificate for $49 USD,49.0
CS50's Introduction to Computer Science,Harvard University,Introductory,English,"2,442,271",FREE-Add a Verified Certificate for $90 USD,90.0
The Analytics Edge,Massachusetts Institute of Technology,Intermediate,English,"129,555",FREE-Add a Verified Certificate for $199 USD,199.0
Marketing Analytics: Marketing Measurement Strategy,"University of California, Berkeley",Introductory,English,"81,140",FREE-Add a Verified Certificate for $249 USD,249.0
Introduction to Project Management,University of Adelaide,Introductory,English,"301,793",FREE-Add a Verified Certificate for $199 USD,199.0
Leading High-Performing Teams,The University of Queensland,Intermediate,English,"32,847",FREE-Add a Verified Certificate for $5 USD,5.0
The Foundations of Happiness at Work,"University of California, Berkeley",Introductory,English,"67,073",FREE-Add a Verified Certificate for $199 USD,199.0
"Managing Study, Stress and Mental Health at University",Curtin University,Introductory,English,"23,061",FREE-Add a Verified Certificate for $49 USD,49.0
Six Sigma: Define and Measure,Technische Universität München,Introductory,English,"92,411",FREE-Add a Verified Certificate for $99 USD,99.0
Fat Chance: Probability from the Ground Up,Harvard University,Introductory,English,"66,835",FREE-Add a Verified Certificate for $49 USD,49.0
Chasing your Dream: How to End Procrastination and Get a Job You Love,National Research Nuclear University,Introductory,English,"44,711",FREE-Add a Verified Certificate for $49 USD,49.0
Bitcoin and Cryptocurrencies,"University of California, Berkeley",Introductory,English,"83,398",FREE-Add a Verified Certificate for $99 USD,99.0
English Grammar and Style,The University of Queensland,Introductory,English,0,FREE-Add a Verified Certificate for $99 USD,99.0
Ethics in Action,SDG Academy,Intermediate,English,"6,366",FREE-Add a Verified Certificate for $49 USD,49.0
Introduction to FinTech,University of Hong Kong,Introductory,English,"72,767",FREE-Add a Verified Certificate for $199 USD,199.0
Data Science: R Basics,Harvard University,Introductory,English,"528,782",FREE-Add a Verified Certificate for $49 USD,49.0
Python Basics for Data Science,IBM,Introductory,English,"228,809",FREE-Add a Verified Certificate for $39 USD,39.0
The Science of Beer,Wageningen University & Research,Introductory,English,"39,085",FREE-Add a Verified Certificate for $49 USD,49.0
Strategic Social Media Marketing,Boston University,Advanced,English,"103,640",FREE-Add a Verified Certificate for $399 USD,399.0
CS50's Introduction to Artificial Intelligence with Python,Harvard University,Introductory,English,"258,006",FREE-Add a Verified Certificate for $199 USD,199.0
CS50's Introduction to Game Development,Harvard University,Intermediate,English,"346,748",FREE-Add a Verified Certificate for $149 USD,149.0
Rhetoric: The Art of Persuasive Writing and Public Speaking,Harvard University,Introductory,English,"320,225",FREE-Add a Verified Certificate for $99 USD,99.0
CS50's Web Programming with Python and JavaScript,Harvard University,Intermediate,English,"698,950",FREE-Add a Verified Certificate for $90 USD,90.0
Contract Law: From Trust to Promise to Contract,Harvard University,Intermediate,English,"414,181",FREE-Add a Verified Certificate for $125 USD,125.0
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Harvard University,Introductory,English,"380,167",FREE-Add a Verified Certificate for $99 USD,99.0
Justice,Harvard University,Introductory,English,"392,588",FREE-Add a Verified Certificate for $99 USD,99.0
Data Science: Machine Learning,Harvard University,Introductory,English,"276,209",FREE-Add a Verified Certificate for $49 USD,49.0
Child Protection: Children's Rights in Theory and Practice,Harvard University,Introductory,English,"212,453",FREE-Add a Verified Certificate for $99 USD,99.0
