id,title,level,n_enrolled,n_lectures,date,price
1070968,Ultimate Investment Banking Course,All Levels,2147,51,2017-01-18,200
1113822,Complete GST Course & Certification - Grow Your CA Practice,All Levels,2792,274,2017-03-09,75
1006314,Financial Modeling for Business Analysts and Consultants,Intermediate,2174,51,2016-12-19,45
1210588,Beginner to Pro - Financial Analysis in Excel 2017,All Levels,2451,36,2017-05-30,95
1011058,How To Maximize Your Profits Trading Options,Intermediate,1276,26,2016-12-13,200
192870,Trading Penny Stocks: A Guide for All Levels In 2017,All Levels,9221,25,2014-05-02,150
739964,Investing And Trading For Beginners: Mastering Price Charts,Basic,1540,26,2016-02-21,65
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",All Levels,2917,23,2015-01-30,95
476268,Options Trading 3 : Advanced Stock Profit and Success Method,Advanced,5172,38,2015-05-28,195
1167710,The Only Investment Strategy You Need For Your Retirement,All Levels,827,15,2017-04-18,200
592338,Forex Trading Secrets of the Pros With Amazon's AWS,All Levels,4284,76,2015-09-11,200
975046,Trading Options With Money Flow,All Levels,1380,17,2016-10-18,200
742602,Financial Management Risk and Return For Securities,All Levels,3607,19,2016-02-03,30
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,All Levels,4061,16,2016-03-16,195
1196544,Python Algo Trading: Sentiment Trading with News,All Levels,294,42,2017-04-28,200
504036,Short Selling: Learn To Sell Stocks Before The Fall,Intermediate,2276,19,2015-06-22,75
719698,Basic Technical Analysis: Learn the structure of the market,Basic,4919,16,2016-01-08,20
564966,The Complete Chart Pattern Trading Course: A Proven Approach,All Levels,2666,52,2015-08-10,200
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,All Levels,5354,23,2015-09-21,50
58977,Financial Statements Made Easy,Basic,8095,12,2013-06-09,95
1242604,Winning Forex Trading with Live Forex Trading Examples,All Levels,809,25,2017-06-06,200
798740,Forex Traders - Create Your First Trading Robot. No Coding!,All Levels,2295,39,2016-05-02,200
506568,Create A Business From Home Trading Stocks Today In 2017,All Levels,10149,16,2015-05-26,75
1020760,Introduction to Accounting : Mastering Financial Statements,Basic,1916,23,2016-12-05,50
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,All Levels,2507,40,2016-05-30,45
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,All Levels,5786,50,2015-01-31,150
353044,Investing 101: The Complete Online Investing Course,All Levels,5334,42,2014-11-28,200
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Intermediate,4005,25,2015-04-12,175
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),All Levels,2877,81,2016-04-26,150
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,Basic,1026,37,2017-06-27,140
1170894,Python Algo Stock Trading: Automate Your Trading!,Basic,1165,41,2017-05-28,95
948974,THE Forex Robot: Incredible ROI (Robot Included),All Levels,1843,35,2016-10-04,200
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,All Levels,8797,80,2015-01-09,45
1217778,Mastering High Probability Iron Condor Options Trading,All Levels,1030,22,2017-06-01,200
1246208,The Complete Short Course on Ethereum,All Levels,1041,28,2017-06-11,200
434774,Options Trading Stocks: Proven Toolbox For Financial Success,Intermediate,7884,68,2015-05-19,195
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Basic,16900,52,2014-12-12,195
888716,"Introduction to Finance, Accounting, Modeling and Valuation",All Levels,11441,61,2016-06-28,200
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,All Levels,22257,138,2014-11-25,195
965832,The Complete Investment Banking Course 2017,All Levels,8575,110,2016-10-10,195
648826,The Complete Financial Analyst Course 2017,All Levels,24481,174,2016-01-21,195
1035472,Python for Finance: Investment Fundamentals & Data Analytics,All Levels,3811,103,2017-03-30,195
1154754,Financial Modeling for Startups & Small Businesses,Basic,4991,79,2017-03-29,195
627540,Options Trading - How to Win with Weekly Options,Intermediate,7489,25,2015-10-22,115
301442,Black Algo Trading: Build Your Trading Robot,All Levels,20195,227,2014-10-27,200
640100,Accounting & Financial Statement Analysis: Complete Training,All Levels,10042,43,2015-10-22,150
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,All Levels,367,35,2017-06-21,95
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,All Levels,10603,42,2014-10-12,200
1214702,Three Steps Trading - Live Trading - Real Account,All Levels,1197,46,2017-05-24,190
848664,Option Trading for Rookies:  Understand Options Completely,All Levels,2893,62,2016-08-10,150
1142570,How I Learned Stock Trading (and How You Can Too),Advanced,1580,53,2017-05-02,200
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,All Levels,10605,77,2014-10-24,95
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Intermediate,2996,23,2015-03-09,125
885974,Four Fundamentals of Financial Planning,All Levels,6219,20,2017-02-14,30
1151092,Options Trading - Calendar Spread Course for Every Trader,All Levels,1113,17,2017-04-02,200
358326,Dividend Investing: Build Your Portfolio for a Better Future,Basic,8314,47,2015-01-24,60
153210,Learn Accounting. Understand Business.,Basic,5572,33,2014-03-27,200
834836,How to Consistently Win Trading Stocks in 30 Days or Less,Intermediate,1433,15,2016-05-09,145
1171994,A Beginner's Guide to Quantopian Futures API,Intermediate,936,11,2017-04-11,20
1239068,How to Buy Cheap Options - Options Trading Pricing Model,All Levels,658,19,2017-06-02,200
985922,Excel Crash Course: Master Excel for Financial Analysis,All Levels,8121,40,2016-10-18,105
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",Basic,4187,79,2016-02-29,60
165964,Stock Trading Ninja: Complete System For Trading Success,All Levels,9445,38,2014-02-19,155
855172,Hedge and Mutual Fund Careers: The Complete Guide,All Levels,3255,102,2016-06-20,200
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,All Levels,7941,40,2014-08-11,185
994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,All Levels,1680,76,2016-11-26,150
43319,Options Trading Basics (3-Course Bundle),Basic,10100,45,2013-02-25,180
408440,How to Win 97% of Your Options Trades,All Levels,5050,26,2015-02-10,125
918688,How I Make Consistent Returns Trading Options,All Levels,2310,26,2016-10-05,200
308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!",All Levels,5528,32,2015-02-19,185
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",All Levels,6451,28,2014-04-16,125
401784,Options Trading Introduction: Day Trade Stock Options,Basic,12394,30,2015-02-20,95
1122792,The Almost Perfect Options Trading Strategy System - Unique,All Levels,1793,15,2017-03-03,200
709500,Forex Trading -  Learn to Trade Forex Like the Banks,All Levels,3223,23,2016-03-30,20
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,Basic,16385,45,2014-09-02,60
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,All Levels,1487,18,2017-03-08,200
834558,What Finance Job is for You? Explanation of 14 Finance Roles,All Levels,2951,60,2016-05-04,200
551968,The Blueprint for Successful Stock Trading,All Levels,2697,15,2015-08-13,120
1005658,Trading for Beginners - Intermediate Level,Basic,3979,39,2016-11-09,150
746432,Start Trading Stocks Using Technical Analysis!,All Levels,3190,45,2016-02-03,25
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Advanced,1406,54,2017-01-18,200
284118,VPS for Forex Trading - Protect Your Forex Robots,All Levels,4252,24,2014-09-19,160
302562,Introduction to Accounting: The Language of Business,Basic,11958,134,2014-10-02,20
596598,Basic Excel for Basic Bookkeeping and Accounting,Basic,7743,33,2015-09-10,95
860890,"Using 'The Greeks To Understand Options""",All Levels,2134,5,2016-07-13,50
951050,Trading Options For Consistent Returns: Calendar Spreads,All Levels,1214,20,2016-10-07,200
796450,How to Create Your Personal Budget,All Levels,3870,10,2016-03-21,20
502772,The Complete Value Investing Course: A Proven Approach,All Levels,2146,49,2015-06-16,200
1102462,FOREX Trading with Price Action,Basic,484,19,2017-03-14,195
1062092,Emini ES Futures - Advanced Non Directional Options Trading,All Levels,1057,14,2017-01-11,200
891484,Forex Trading - Advanced Fundamental Analysis,Intermediate,1754,49,2016-06-30,20
1217064,How To Invest With Tiny Capital In Stocks ?,Basic,1239,6,2017-05-23,20
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,All Levels,2493,108,2015-01-31,95
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Basic,2602,57,2015-10-28,150
474928,Intermediate Options trading concepts for Stocks and Options,All Levels,2000,9,2015-04-13,40
1148774,Options Trading 101: The Basics,Basic,1514,11,2017-03-23,0
959144,Practical Accounts APP Overview,Intermediate,1361,14,2016-10-04,20
